Vivado Simulator 2018.2
Time resolution is 1 ps
A = 00000001 , B = 00000001 , fun = 0000 , Y = 00000002 , c_out = x 
A = 00000001 , B = 00000002 , fun = 0001 , Y = ffffffff , c_out = 0 
A = 00000001 , B = 00000003 , fun = 0010 , Y = 00000001 , c_out = 0 
A = 00000001 , B = 00000004 , fun = 0011 , Y = 00000005 , c_out = 0 
A = 00000001 , B = 00000005 , fun = 0100 , Y = 00000004 , c_out = 0 
A = 00000001 , B = 00000006 , fun = 0101 , Y = 00000040 , c_out = 0 
A = 00000001 , B = 00000007 , fun = 0110 , Y = 00000000 , c_out = 0 
A = 00000001 , B = 00000008 , fun = 0111 , Y = 00000000 , c_out = 0 
A = 00000002 , B = 00000009 , fun = 0000 , Y = 0000000b , c_out = x 
A = 00000002 , B = 0000000a , fun = 0001 , Y = fffffff8 , c_out = 0 
A = 00000002 , B = 0000000b , fun = 0010 , Y = 00000002 , c_out = 0 
A = 00000002 , B = 0000000c , fun = 0011 , Y = 0000000e , c_out = 0 
A = 00000002 , B = 0000000d , fun = 0100 , Y = 0000000f , c_out = 0 
A = 00000002 , B = 0000000e , fun = 0101 , Y = 00008000 , c_out = 0 
A = 00000002 , B = 0000000f , fun = 0110 , Y = 00000000 , c_out = 0 
A = 00000002 , B = 00000010 , fun = 0111 , Y = 00000000 , c_out = 0 
A = 00000003 , B = 00000011 , fun = 0000 , Y = 00000014 , c_out = x 
A = 00000003 , B = 00000012 , fun = 0001 , Y = fffffff1 , c_out = 0 
A = 00000003 , B = 00000013 , fun = 0010 , Y = 00000003 , c_out = 0 
A = 00000003 , B = 00000014 , fun = 0011 , Y = 00000017 , c_out = 0 
A = 00000003 , B = 00000015 , fun = 0100 , Y = 00000016 , c_out = 0 
A = 00000003 , B = 00000016 , fun = 0101 , Y = 00c00000 , c_out = 0 
A = 00000003 , B = 00000017 , fun = 0110 , Y = 00000000 , c_out = 0 
A = 00000003 , B = 00000018 , fun = 0111 , Y = 00000000 , c_out = 0 
A = 00000004 , B = 00000019 , fun = 0000 , Y = 0000001d , c_out = x 
A = 00000004 , B = 0000001a , fun = 0001 , Y = ffffffea , c_out = 0 
A = 00000004 , B = 0000001b , fun = 0010 , Y = 00000000 , c_out = 0 
A = 00000004 , B = 0000001c , fun = 0011 , Y = 0000001c , c_out = 0 
A = 00000004 , B = 0000001d , fun = 0100 , Y = 00000019 , c_out = 0 
A = 00000004 , B = 0000001e , fun = 0101 , Y = 00000000 , c_out = 0 
A = 00000004 , B = 0000001f , fun = 0110 , Y = 00000000 , c_out = 0 
A = 00000004 , B = 00000020 , fun = 0111 , Y = 00000000 , c_out = 0 
A = 00000005 , B = 00000021 , fun = 0000 , Y = 00000026 , c_out = x 
A = 00000005 , B = 00000022 , fun = 0001 , Y = ffffffe3 , c_out = 0 
A = 00000005 , B = 00000023 , fun = 0010 , Y = 00000001 , c_out = 0 
A = 00000005 , B = 00000024 , fun = 0011 , Y = 00000025 , c_out = 0 
A = 00000005 , B = 00000025 , fun = 0100 , Y = 00000020 , c_out = 0 
A = 00000005 , B = 00000026 , fun = 0101 , Y = 00000000 , c_out = 0 
A = 00000005 , B = 00000027 , fun = 0110 , Y = 00000000 , c_out = 0 
A = 00000005 , B = 00000028 , fun = 0111 , Y = 00000000 , c_out = 0 
A = 00000006 , B = 00000029 , fun = 0000 , Y = 0000002f , c_out = x 
A = 00000006 , B = 0000002a , fun = 0001 , Y = ffffffdc , c_out = 0 
A = 00000006 , B = 0000002b , fun = 0010 , Y = 00000002 , c_out = 0 
A = 00000006 , B = 0000002c , fun = 0011 , Y = 0000002e , c_out = 0 
A = 00000006 , B = 0000002d , fun = 0100 , Y = 0000002b , c_out = 0 
A = 00000006 , B = 0000002e , fun = 0101 , Y = 00000000 , c_out = 0 
A = 00000006 , B = 0000002f , fun = 0110 , Y = 00000000 , c_out = 0 
A = 00000006 , B = 00000030 , fun = 0111 , Y = 00000000 , c_out = 0 
A = 00000007 , B = 00000031 , fun = 0000 , Y = 00000038 , c_out = x 
A = 00000007 , B = 00000032 , fun = 0001 , Y = ffffffd5 , c_out = 0 
A = 00000007 , B = 00000033 , fun = 0010 , Y = 00000003 , c_out = 0 
A = 00000007 , B = 00000034 , fun = 0011 , Y = 00000037 , c_out = 0 
A = 00000007 , B = 00000035 , fun = 0100 , Y = 00000032 , c_out = 0 
A = 00000007 , B = 00000036 , fun = 0101 , Y = 00000000 , c_out = 0 
A = 00000007 , B = 00000037 , fun = 0110 , Y = 00000000 , c_out = 0 
A = 00000007 , B = 00000038 , fun = 0111 , Y = 00000000 , c_out = 0 
A = 00000008 , B = 00000039 , fun = 0000 , Y = 00000041 , c_out = x 
A = 00000008 , B = 0000003a , fun = 0001 , Y = ffffffce , c_out = 0 
A = 00000008 , B = 0000003b , fun = 0010 , Y = 00000008 , c_out = 0 
A = 00000008 , B = 0000003c , fun = 0011 , Y = 0000003c , c_out = 0 
A = 00000008 , B = 0000003d , fun = 0100 , Y = 00000035 , c_out = 0 
A = 00000008 , B = 0000003e , fun = 0101 , Y = 00000000 , c_out = 0 
A = 00000008 , B = 0000003f , fun = 0110 , Y = 00000000 , c_out = 0 
A = 00000008 , B = 00000040 , fun = 0111 , Y = 00000000 , c_out = 0 
A = zzzzzzzz , B = zzzzzzzz , fun = 0000 , Y = xxxxxxxx , c_out = x 
A = xxxxxxxx , B = xxxxxxxx , fun = 0000 , Y = xxxxxxxx , c_out = x 
$finish called at time : 670 ns : File "C:/Projects/NSDC/Week 1/ALU/ALU.srcs/sources_1/new/alu_tb.v" Line 60
